Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Down-Sizing the Little Guy Myth in Legal Definitions [article],"Eyal-Cohen, Mirit (Cited 50 times)",2335,"Iowa Law Review, Vol. 98, Issue 3 (March 2013), pp. 1041-1100",98 Iowa L. Rev. 1041 (2012-2013),"Corporations, Economics, Congress, Business Organizations, International Trade",17,na,11
Why Is Small Business the Chief Business of Congress [article],"Eyal-Cohen, Mirit (Cited 50 times)",2335,"Rutgers Law Journal, Vol. 43, Issue 1 (Fall 2011/Winter 2012), pp. 1-58",43 Rutgers L.J. 1 (2011-2013),"Congress, Investment, Regulation, Equity",9,na,4
"When American Small Business Hot the Jackpot: Taxes, Politics and the History of Organizational Choice in the 1950's [article]","Eyal-Cohen, Mirit (Cited 50 times)",2335,"Pittsburgh Tax Review , Vol. 6, Issue 1 (Fall 2008), pp. 1-60",6 Pitt. Tax Rev. 1 (2008-2009),"Corporations, History, Politics, Elections, Debts, S Corporations",9,na,6
Legal Mirrors of Entrepreneurship [article],"Eyal-Cohen, Mirit (Cited 50 times)",2335,"Boston College Law Review, Vol. 55, Issue 3 (May 2014), pp. 719-774",55 B.C. L. Rev. 719 (2014),"Corporations, Economics, Business Organizations, International Trade",7,na,14
Preventive Tax Policy: Chief Justice Roger J. Traynor's Tax Philosophy [article],"Eyal-Cohen, Mirit (Cited 50 times)",2335,"Hastings Law Journal , Vol. 59, Issue 4 (2007-2008), pp. 877-910",59 Hastings L.J. 877 (2007-2008),"Judges, Philosophy, Tax Policy, Taxation-Federal Income, Comparative Law",5,na,2
Through the Lens of Innovation [article],"Eyal-Cohen, Mirit (Cited 50 times)",2335,"Florida State University Law Review, Vol. 43, Issue 3 (Spring 2016), pp. 951-1014",43 Fla. St. U. L. Rev. 951 (2015-2016),"Economics, Science and Technology, Antitrust, Attorneys, Legal Education, Legal Profession",3,na,17
Preventive Tax Policy: Chief Justice Roger J. Traynor's Tax Philosophy [article],"Eyal-Cohen, Mirit (Cited 50 times)",2335,"California Legal History, Vol. 3, pp. 155-184",3 Cal. Legal Hist. 155 (2008),"Philosophy, Tax Policy, Judges, Taxation-Federal Income, Jurisprudence",na,na,4
The Cost of Inexperience [article],"Eyal-Cohen, Mirit (Cited 50 times)",2335,"Alabama Law Review, Vol. 69, Issue 4 (2018), pp. 859-912",69 Ala. L. Rev. 859 (2017-2018),"Air and Space Law, Commercial Law, Comparative Law, Drones",na,na,62
Innovation Agents [article],"Eyal-Cohen, Mirit (Cited 50 times)",2335,"Washington and Lee Law Review, Vol. 76, Issue 1 (Winter 2019), pp. 163-260",76 Wash. & Lee L. Rev. 163 (2019),"Arbitration, Autonomous Vehicles, Motor Vehicles",na,na,13
Lessons in Cyclical Fiscal Activism [article],"Eyal-Cohen, Mirit (Cited 50 times)",2335,"Connecticut Law Review, Vol. 48, Issue 3 (February 2016), pp. 873-932",48 Conn. L. Rev. 873 (2015-2016),"Tax Policy, Law Enforcement, Privacy, Business Organizations",na,na,1
