Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Inherent Flaws in the Inherent Authority Position: Why Inviting Local Enforcement of Immigration Laws Violates the Constitution [article],"Pham, Huyen (Cited 358 times)",2139,"Florida State University Law Review, Vol. 31, Issue 4 (Summer 2004), pp. 965-1004",31 Fla. St. U. L. Rev. 965 (2003-2004),"Constitutional Law, Immigration Law, Jurisdiction, Sovereignty, Criminal Law, Records",130,na,11
The Constitutional Right Not to Cooperate - Local Sovereignty and the Federal Immigration Power [article],"Pham, Huyen (Cited 358 times)",2139,"University of Cincinnati Law Review, Vol. 74, Issue 4 (Summer 2006), pp. 1373-1414",74 U. Cin. L. Rev. 1373 (2005-2006),"Immigration Law, Sovereignty, Constitutional Law, Jurisdiction, Sanctions",106,na,37
The Private Enforcement of Immigration Laws [article],"Pham, Huyen (Cited 358 times)",2139,"Georgetown Law Journal, Vol. 96, Issue 3 (March 2008), pp. 777-826",96 Geo. L.J. 777 (2007-2008),"Immigration Law, Attorneys' Fees, Class Actions, Consumer Credit, Insurance Law, Punitive Damages, Real Estate, Unfair Trade Practices, Utilities, Public Law",61,1,31
When Immigration Borders Move [article],"Pham, Huyen (Cited 358 times)",2139,"Florida Law Review , Vol. 61, Issue 5 (December 2009), pp. 1115-1164",61 Fla. L. Rev. 1115 (2009),"Best Interests of the Child, Child Custody, Children, Domestic Violence, Immigration Law, Economics, Regulation",27,na,7
The Economic Impact of Local Immigration Regulation: An Empirical Analysis [article],"Pham, Huyen (Cited 358 times); Van, Pham Hoang (Cited 18 times)",2139,"Cardozo Law Review, Vol. 32, Issue 2 (November 2010), pp. 485-518",32 Cardozo L. Rev. 485 (2010-2011),"Economics, Immigration Law, Regulation, State and Local Government Law",12,na,13
Problems Facing the First Generation of Local Immigration Laws [comments],"Pham, Huyen (Cited 358 times)",2139,"Hofstra Law Review, Vol. 36, Issue 4 (Summer 2008), pp. 1303-1312",36 Hofstra L. Rev. 1303 (2007-2008),"Economics, Immigration Law, Regulation, Courts, Jurisdiction, Statutes",9,na,4
State-Created Immigration Climates and Domestic Migration [article],"Pham, Huyen (Cited 358 times); Van, Pham Hoang (Cited 18 times)",2139,"University of Hawai'i Law Review, Vol. 38, Issue 1 (Winter 2015), pp. 181-211",38 U. Haw. L. Rev. 181 (2015-2016),"Economics, Immigration Law, State and Local Government Law, Regulation",4,na,11
A Framework for Understanding Subfederal Enforcement of Immigration Laws [article],"Pham, Huyen (Cited 358 times)",2139,"University of St. Thomas Law Journal, Vol. 13, Issue 3 (Fall 2017), pp. 508-531",13 U. St. Thomas L.J. 508 (2016-2017),"Evidence, Detention, Government, Immigrants, Immigration Law, Education Law",3,na,14
Economic Impact of Local Immigration Regulation: An Empirical Analysis [article],"Pham, Huyen (Cited 358 times); Van, Pham Hoang (Cited 18 times)",2139,"Immigration and Nationality Law Review, Vol. 31, pp. 687-720",31 Immigr. & Nat'lity L. Rev. 687 (2010),"Economics, Immigration Law, Regulation, State and Local Government Law",2,na,54
The Inherent Flaws in the Inherent Authority Position: Why Inviting Local Enforcement of Immigration Laws Violates the Constitution [article],"Pham, Huyen (Cited 358 times)",2139,"Immigration and Nationality Law Review, Vol. 25, pp. 45-84",25 Immigr. & Nat'lity L. Rev. 45 (2004),"Constitutional Law, Immigration Law, Jurisdiction, Sovereignty, Criminal Law, Records",1,na,32
287g Agreements in the Trump Era [article],"Pham, Huyen (Cited 358 times)",2139,"Washington and Lee Law Review, Vol. 75, Issue 3 (Summer 2018), pp. 1253-1286",75 Wash. & Lee L. Rev. 1253 (2018),"Immigration Law, Law Enforcement, President/Executive Department, State and Local Government Law, Equity, Jurisprudence, National Security",1,na,44
State-Created Immigration Climates and Domestic Migration [article],"Pham, Huyen (Cited 358 times); Van, Pham Hoang (Cited 18 times)",2139,"Immigration and Nationality Law Review, Vol. 37, pp. 601-632",37 Immigr. & Nat'lity L. Rev. 601 (2016),"Economics, Immigration Law, State and Local Government Law, Regulation",na,na,10
Subfederal Immigration Regulation and the Trump Effect [article],"Pham, Huyen (Cited 358 times); Van, Pham Hoang (Cited 18 times)",2139,"New York University Law Review, Vol. 94, Issue 1 (April 2019), pp. 125-[ii]",94 N.Y.U. L. Rev. 125 (2019),"Immigration Law, Citizenship, States, Economics, State and Local Government Law",na,na,69
