Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Intellectual Property and Constitutional Norms [article],"Nachbar, Thomas B. (Cited 304 times)",1572,"Columbia Law Review, Vol. 104, Issue 2 (March 2004), pp. 272-362",104 Colum. L. Rev. 272 (2004),"Intellectual Property Law, Congress, Sex Offenders, Copyright, Term Limits",112,1,23
Paradox and Structure: Relying on Government Regulation to Preserve the Internet's Unregulated Character [article],"Nachbar, Thomas B. (Cited 304 times)",1572,"Minnesota Law Review, Vol. 85, Issue 1 (November 2000), pp. 215-318",85 Minn. L. Rev. 215 (2000-2001),"Administration Law, Computer Law, Government, Internet, Regulation, States",38,1,20
"Monopoly, Mercantilism, and the Politics of Regulation [article]","Nachbar, Thomas B. (Cited 304 times)",1572,"Virginia Law Review, Vol. 91, Issue 6 (October 2005), pp. 1313-1380",91 Va. L. Rev. 1313 (October 2005),"Politics, Regulation, Trade Regulation, Intellectual Property Law, Software, Intellectual Property Law",37,na,65
Constructing Copyright's Mythology [article],"Nachbar, Thomas B. (Cited 304 times)",1572,"Green Bag. An Entertaining Journal of Law. (Second Series), Vol. 6, Issue 1 (Autumn 2002), pp. 37-46",Full Text Not Currently Available in HeinOnline,"Copyright, Judges, Judicial Review, Literature, Law Reform",na,na,na
The Public Network [article],"Nachbar, Thomas B. (Cited 304 times)",1572,"CommLaw Conspectus: Journal of Communications Law and Policy, Vol. 17, Issue 1 (2008), pp. 67-140",17 CommLaw Conspectus 67 (2008),"Bankruptcy Law, Consumer Protection Law, Electronic Commerce, Internet, Neutrality, Regulation",22,na,5
The Rationality of Rational Basis Review [article],"Nachbar, Thomas B. (Cited 304 times)",1572,"Virginia Law Review, Vol. 102, Issue 7 (November 2016), pp. 1627-1690",102 Va. L. Rev. 1627 (November 2016),"Administration Law, Jurisprudence, Social Welfare Law, Supreme Court of the United States, Domestic Relations, Fourteenth Amendment, Sex, Sexuality and the Law",16,na,22
The Antitrust Constitution [article],"Nachbar, Thomas B. (Cited 304 times)",1572,"Iowa Law Review, Vol. 99, Issue 1 (November 2013), pp. 57-114",99 Iowa L. Rev. 57 (2013-2014),na,15,na,11
Judicial Review and the Quest to Keep Copyright Pure [article],"Nachbar, Thomas B. (Cited 304 times)",1572,"Journal on Telecommunications & High Technology Law, Vol. 2, pp. 33-72",2 J. on Telecomm. & High Tech. L. 33 (2003),"Copyright, Judges, Judicial Review, Constitutional Law, Intellectual Property Law",9,na,1
Executive Branch Policy Meets International Law in the Evolution of the Domestic Law of Detention [article],"Nachbar, Thomas B. (Cited 304 times)",1572,"Virginia Journal of International Law, Vol. 53, Issue 2 (Spring 2013), pp. 201-246",53 Va. J. Int'l L. 201 (Spring 2013),"Arrest, Detention, International Law: History, Consent, President/Executive Department, Violence",5,na,8
Speech and Institutional Choice [article],"Nachbar, Thomas B. (Cited 304 times)",1572,"Washington University Journal of Law & Policy, Vol. 21, pp. 67-80",21 Wash. U. J.L. & Pol'y 67 (2006),"Communications Law, Computer Law, Congress, Politics",5,na,3
Defining the Rule of Law Problem [article],"Nachbar, Thomas B. (Cited 304 times)",1572,"Green Bag. An Entertaining Journal of Law. (Second Series), Vol. 12, Issue 3 (Spring 2009), pp. 303-320",Full Text Not Currently Available in HeinOnline,"Rule of Law, Comparative Law, Jurisprudence",na,na,na
Rational Basis plus [article],"Nachbar, Thomas B. (Cited 304 times)",1572,"Constitutional Commentary, Vol. 32, Issue 2 (Summer 2017), pp. 449-478",32 Const. Comment. 449 (2017),"Jurisprudence, Social Welfare Law, Supreme Court of the United States, Administration Law, Equal Protection, Fourteenth Amendment",4,na,17
Rules and Standards in Copyright [article],"Nachbar, Thomas B. (Cited 304 times)",1572,"Houston Law Review, Vol. 52, Issue 2 (2014), pp. 583-612",52 Hous. L. Rev. 583 (2014-2015),"Copyright, Contracts, Economics",4,na,11
The Comedy of the Market [article],"Nachbar, Thomas B. (Cited 304 times)",1572,"Columbia Journal of Law & the Arts, Vol. 30, Issue 3-4 (2007), pp. 453-466",30 Colum. J.L. & Arts 453 (2006-2007),"Commerce, Commerce Clause, Copyright, Intellectual Property Law, Law and Society",4,na,3
The Use of Law in Counterinsurgency [article],"Nachbar, Thomas B. (Cited 304 times)",1572,"Military Law Review, Vol. 213, pp. 140-164",213 Mil. L. Rev. 140 (2012),"Jurisprudence, War, International Law: History, Rule of Law, States",1,na,9
The Peculiar Case of State Network Neutrality Regulation [article],"Nachbar, Thomas B. (Cited 304 times)",1572,"Cardozo Arts & Entertainment Law Journal, Vol. 37, Issue 3 (2019), pp. 659-700",37 Cardozo Arts & Ent. L.J. 659 (2019),"Broadband, Communications Law, Consumer Protection Law, Internet, Regulation",na,na,6
The Rule of Law: Fifteen Years of Lessons [article],"Snellen, Jeremy; Nachbar, Thomas B. (Cited 304 times)",1572,"Army Lawyer, Vol. 2018, Issue 4 (July/August 2018), pp. 22-28",2018 Army Law. 22 (2018),"Rule of Law, Accounting, Conflict of Laws, Sovereignty, Detention",na,na,4
Antitrust and the Politics of State Action [article],"Nachbar, Thomas B. (Cited 304 times)",1572,"William & Mary Law Review, Vol. 60, Issue 4 (March 2019), pp. 1395-1438",60 Wm. & Mary L. Rev. 1395 (2018-2019),"Antitrust, Regulation, Immunity, State Action",na,na,3
